title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,305968,AU
Silent Hill,movie,"Horror, Mystery",2006,tt0384537,6.5,250383,CA
The Hours,movie,"Drama, Romance",2002,tt0274558,7.5,143252,"AU, US"
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,468359,US
The Conversation,movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,126951,"AT, CH, DE, FR, GB, IE, IT, US"
The Terminal,movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,508424,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1321811,"CA, US"
Sunset Boulevard,movie,"Drama, Film-Noir",1950,tt0043014,8.4,245574,"AT, CH, DE, FR, GB, IE, IT, US"
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,449200,AU
Independence Day,movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,621056,US
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,244979,"AT, CH, DE, FR, GB, IE, IT"
Wild Strawberries,movie,"Drama, Romance",1957,tt0050986,8.1,118667,"DE, GB"
Wild Things,movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,134678,US
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,310055,"AT, CA, CH, DE, FR, GB, IE, IT, US"
The Ninth Gate,movie,"Mystery, Thriller",1999,tt0142688,6.7,202423,"BR, CL, CO, IN, MX"
The Killing Fields,movie,"Biography, Drama, History",1984,tt0087553,7.8,60960,DE
Un chien andalou,movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,54856,GB
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,54890,GB
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,271737,AU
Angel Heart,movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,98620,US
